date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI,month,month_sin,month_cos
2024-03-06,19.1,6.9,12.7,0.0,9.2,38.22083333333333,60.89166666666667,1008.25,48.57083333333333,12.3875,66.79166666666667,102.58333333333331,3,1.0,6.123233995736766e-17
2024-03-07,19.1,9.5,14.0,0.0,9.6,40.025,65.13333333333334,976.4583333333334,38.895833333333336,11.395833333333334,72.83333333333333,108.41666666666669,3,1.0,6.123233995736766e-17
2024-03-08,19.9,7.7,13.9,0.0,15.4,29.370833333333334,49.175,799.875,36.4625,7.429166666666667,72.91666666666667,102.33333333333331,3,1.0,6.123233995736766e-17
2024-03-09,21.8,10.3,15.9,0.0,21.4,23.8,37.23333333333333,809.9583333333334,36.77916666666667,5.9,72.0,83.91666666666667,3,1.0,6.123233995736766e-17
2024-03-10,21.8,10.0,16.0,0.0,9.9,27.066666666666663,42.92083333333333,1133.6666666666667,46.5375,9.795833333333333,51.54166666666666,74.875,3,1.0,6.123233995736766e-17
2024-03-11,22.1,13.0,17.3,0.0,12.4,37.05,57.7,1128.625,43.00833333333333,13.0125,64.58333333333333,98.25,3,1.0,6.123233995736766e-17
2024-03-12,23.5,10.2,17.3,0.0,12.4,28.79583333333333,50.675,775.75,35.06666666666667,10.2875,76.04166666666667,99.25,3,1.0,6.123233995736766e-17
2024-03-13,18.1,12.2,14.7,19.2,20.0,32.225,57.94166666666666,502.0416666666667,20.01666666666667,8.095833333333333,79.25,90.125,3,1.0,6.123233995736766e-17
2024-03-14,20.9,11.1,14.8,2.0,12.4,28.6375,52.84166666666667,562.0833333333334,26.0875,8.4625,78.66666666666667,94.625,3,1.0,6.123233995736766e-17
2024-03-15,22.0,10.7,15.8,0.0,16.9,20.6625,31.979166666666668,753.8333333333334,34.87083333333333,6.879166666666666,66.08333333333333,77.875,3,1.0,6.123233995736766e-17
2024-03-16,24.2,10.0,17.1,0.0,11.6,22.445833333333336,33.67916666666667,926.0416666666666,41.28333333333333,9.604166666666666,60.16666666666666,74.70833333333333,3,1.0,6.123233995736766e-17
2024-03-17,24.7,11.1,18.1,0.0,15.9,24.433333333333334,36.90833333333333,831.1666666666666,37.75416666666667,7.945833333333333,64.375,76.20833333333333,3,1.0,6.123233995736766e-17
2024-03-18,25.8,12.9,18.6,0.0,12.1,26.629166666666663,41.62916666666667,888.6666666666666,41.62916666666667,7.337499999999999,64.95833333333333,84.625,3,1.0,6.123233995736766e-17
2024-03-19,27.1,13.8,20.0,0.0,16.5,22.6875,34.87916666666667,903.4583333333334,39.8625,8.6875,63.66666666666666,83.04166666666667,3,1.0,6.123233995736766e-17
2024-03-20,28.4,13.2,20.8,0.0,11.3,23.975,37.891666666666666,704.1666666666666,28.508333333333336,9.220833333333331,89.375,86.41666666666667,3,1.0,6.123233995736766e-17
2024-03-21,23.7,16.1,20.3,0.2,17.5,25.325,48.15,648.7916666666666,28.65,7.125,63.66666666666666,78.29166666666667,3,1.0,6.123233995736766e-17
2024-03-22,22.8,13.7,17.9,33.1,10.7,36.75,80.95416666666667,548.3333333333334,24.73333333333333,6.870833333333334,87.41666666666667,87.58333333333333,3,1.0,6.123233995736766e-17
2024-03-23,26.2,12.1,19.4,0.0,16.4,26.7625,42.71666666666667,861.8333333333334,36.62083333333333,7.7875,74.125,97.70833333333331,3,1.0,6.123233995736766e-17
